Age,Employment_Type,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Purpose,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Decision
37,Salaried,365700,4.5,1,Home,627000,72,4,2458900,82380,95,171.45,12.95,0,0,0,3,10.6,8,100,673,0
31,Business Owner,1442600,1.5,3,Education,2681000,24,0,0,0,95,185.85,51.35,0,0,0,2,0.5,4,100,617,0
50,Self-Employed,952400,4.6,1,Medical,1361000,12,0,0,0,95,142.9,46.82,0,1,9,4,29.6,6,99.3,756,0
32,Business Owner,1317700,4.7,1,Business,2654000,60,0,0,0,51.56,201.41,24.57,0,0,0,5,7.7,1,100,676,0
42,Salaried,553700,4.9,1,Personal,356000,60,1,255100,8610,37.28,64.29,61.67,0,1,5,2,16.1,5,97.02,671,1
36,Salaried,434700,7.8,3,Personal,368000,36,0,0,0,35.64,84.66,36.99,1,1,6,3,17.5,2,84.27,656,1
35,Self-Employed,452500,4.4,1,Vehicle,632000,36,2,623000,16430,95,139.67,33.24,0,2,32,1,12.8,6,91.96,660,0
42,Self-Employed,746200,0.5,0,Education,989000,60,1,43600,1680,40.38,132.54,48.54,0,1,9,2,17.6,5,98.78,674,1
49,Salaried,535800,7.3,2,Personal,656000,60,0,0,0,31.2,122.43,33.29,0,0,0,0,25.6,2,92.88,773,1
39,Salaried,480900,3.3,2,Education,1066000,60,2,207100,6080,75.4,221.67,35.67,0,2,31,10,20,7,94.4,658,1
32,Salaried,1151300,0.5,2,Home Renovation,1208000,72,3,1718700,44670,71.78,104.92,39.37,0,1,12,2,14,6,97.38,690,0
49,Salaried,721800,5.3,1,Education,917000,72,0,0,0,30.22,127.04,10.91,0,0,0,4,27.3,4,98.91,799,1
40,Salaried,1813800,1.3,1,Business,820000,60,1,114900,3620,14.74,45.21,42.83,2,3,34,2,17.7,3,74.89,653,0
37,Salaried,462600,7.5,1,Home,619000,24,0,0,0,77.27,133.81,25.58,0,1,11,0,14.9,2,94.58,723,0
45,Salaried,434500,4.3,2,Home,789000,84,1,49100,1770,48.41,181.59,27.26,0,2,17,3,15.6,4,97.81,675,0
39,Self-Employed,364000,8,0,Business,794000,12,0,0,0,95,218.13,4.38,0,1,12,0,4.8,3,94.73,667,0
57,Salaried,652700,6.5,0,Home,684000,24,0,0,0,59.37,104.8,23.1,0,0,0,2,24.5,3,99.69,784,1
36,Salaried,1077000,8.8,1,Home,1520000,60,2,391500,7760,46.46,141.13,25.92,0,0,0,3,12.5,4,99.82,713,0
46,Salaried,1023300,7.5,0,Personal,568000,72,1,455600,11690,25.83,55.51,21.36,0,1,8,3,17.9,4,98.21,721,0
40,Contract,1470000,0.5,2,Vehicle,1008000,72,1,120000,2330,19.8,68.57,65.71,0,0,0,0,12.4,4,99.14,672,1
40,Salaried,1116400,5.8,1,Business,731000,72,3,295100,9050,26.72,65.48,38.82,0,0,0,1,14.8,7,100,701,0
33,Salaried,565500,0.5,1,Education,349000,84,1,330200,6740,28.74,61.72,55.4,0,0,0,2,6.1,4,98.66,673,1
33,Salaried,784700,6.8,5,Medical,1967000,24,3,733600,20550,95,250.67,23.11,1,3,36,3,7.2,8,87.04,652,0
40,Salaried,1156700,8.4,3,Home,1267000,36,2,1005500,20710,67.97,109.54,15.48,1,3,23,0,18.7,5,85.77,722,0
29,Salaried,472200,3.9,0,Home,195000,24,1,166100,6020,38.21,41.3,62.39,0,0,0,1,4.1,2,97.73,635,1
31,Professional,409000,5.6,3,Home,114000,60,1,183500,6950,27.68,27.87,23.8,0,1,8,2,3.3,6,100,691,1
36,Self-Employed,747600,10.9,2,Home,1423000,24,1,96600,3850,95,190.34,44.09,0,0,0,1,14.5,7,100,673,0
47,Business Owner,609200,6.8,3,Vehicle,1664000,36,0,0,0,95,273.15,9.41,1,3,30,3,19.5,2,78.12,709,0
37,Salaried,854200,9.2,1,Vehicle,580000,12,0,0,0,73.11,67.9,52.42,0,0,0,4,12.6,3,100,635,0
37,Salaried,425800,5,1,Personal,477000,84,2,263400,7190,46.54,112.02,27.93,0,1,12,5,8.8,5,100,697,1
27,Salaried,695800,6.2,3,Business,1434000,24,0,0,0,95,206.09,42.85,1,3,45,4,2.4,6,86.48,578,0
50,Salaried,538400,5.7,2,Personal,778000,84,0,0,0,36.39,144.5,8.28,0,0,0,4,27.9,2,98.46,748,1
45,Professional,551700,0.5,0,Personal,567000,72,0,0,0,27.5,102.77,31.81,0,0,0,2,20.9,2,100,716,1
46,Contract,660900,0.5,2,Vehicle,1449000,24,0,0,0,95,219.25,21.56,0,0,0,3,12.9,4,98.44,724,0
24,Salaried,263100,7.7,0,Education,382000,72,1,104200,2830,51.67,145.19,13.08,0,1,15,4,5.1,3,94.83,708,0
39,Business Owner,505400,12.4,2,Education,561000,72,1,19900,600,27.63,111,22.06,0,0,0,3,20.4,4,98.23,744,1
28,Salaried,521600,7,0,Personal,152000,36,1,148200,5170,24.04,29.14,18.77,0,2,27,1,0.5,4,92.46,653,0
43,Self-Employed,713300,12.1,1,Home,1670000,48,1,288800,9280,95,234.12,35.35,0,0,0,4,23.2,5,100,726,0
39,Salaried,414800,3.6,0,Education,241000,72,0,0,0,14.7,58.1,22.37,0,2,15,1,21.6,1,96.22,756,0
40,Salaried,677500,8.4,3,Personal,1034000,60,4,1374300,47750,95,152.62,21.07,0,0,0,0,18.2,8,93.83,713,0
30,Salaried,359100,10.7,2,Personal,590000,48,2,130100,3690,65.81,164.3,70.27,0,2,17,0,9,3,98.11,617,0
27,Salaried,572700,5.9,1,Business,149000,72,0,0,0,6.1,26.02,29.37,0,0,0,1,8.9,2,100,703,1
31,Salaried,211200,7,0,Medical,218000,24,0,0,0,59.66,103.22,18.84,0,0,0,3,3.5,5,100,702,1
39,Salaried,851300,5.6,1,Home Renovation,1224000,36,0,0,0,55.45,143.78,20.53,0,1,12,7,16.1,7,98.14,737,1
34,Self-Employed,279000,0.5,2,Home,528000,84,1,670200,13390,95,189.25,34.64,0,1,15,3,9.6,5,100,669,0
38,Professional,476900,5.4,2,Personal,895000,48,1,463600,15790,95,187.67,39.72,0,0,0,2,20.6,3,97.34,692,0
27,Salaried,558700,3.1,2,Home,678000,84,0,0,0,27.13,121.35,36.11,0,2,29,1,6.7,2,91.88,656,0
36,Salaried,829600,6,0,Personal,1165000,60,0,0,0,36.86,140.43,13.2,0,1,17,4,12.1,4,95.61,724,1
48,Salaried,672500,5.1,1,Personal,560000,60,0,0,0,24.6,83.27,3.49,0,0,0,0,24.3,5,98.04,805,1
39,Professional,641300,3.3,1,Home,556000,60,4,903600,29880,79.27,86.7,57.84,1,6,99,2,14.7,7,71.3,591,0
39,Salaried,980800,4.2,0,Consumer Durable,2363000,84,1,276700,5510,62.29,240.93,24.3,0,1,12,4,15.1,4,94.56,723,0
39,Salaried,401200,10.7,1,Personal,1058000,60,0,0,0,77.43,263.71,17.92,0,2,21,5,21.8,3,95.41,721,0
32,Self-Employed,683000,5.5,5,Education,1529000,60,0,0,0,65.44,223.87,55.14,0,0,0,1,3.9,3,100,632,0
50,Professional,442500,4.4,3,Personal,686000,60,0,0,0,39.8,155.03,7.35,0,0,0,3,27.4,1,95.45,773,1
39,Salaried,180000,0.5,2,Home,99000,48,3,359100,10960,90.07,55,51.92,0,2,28,0,7.9,6,90.53,626,0
38,Contract,1311500,0.5,3,Home,2624000,36,0,0,0,83.06,200.08,15.33,0,0,0,3,20.2,3,96.3,758,1
42,Salaried,417500,6.3,1,Home,878000,36,1,201200,5330,95,210.3,26.3,0,1,15,2,21.9,3,91.98,710,0
44,Salaried,403500,7.6,0,Business,107000,36,0,0,0,11.4,26.52,41.24,0,2,25,0,18.7,6,93.82,709,1
25,Self-Employed,570200,3.8,2,Business,677000,36,1,55700,2320,50.67,118.73,38.82,0,0,0,4,0.5,2,99.1,663,1
36,Salaried,324100,5.7,2,Personal,218000,48,1,228100,8110,53.06,67.26,35.59,0,0,0,3,9.8,5,96.95,690,1
55,Self-Employed,312300,8.3,1,Personal,325000,60,1,266000,10770,68.91,104.07,25.21,0,1,7,1,29.9,6,98,765,1
50,Contract,330500,5.8,3,Vehicle,151000,36,0,0,0,18.66,45.69,21.86,1,1,7,1,22.8,5,91.9,749,1
35,Salaried,507800,1.6,2,Medical,581000,36,0,0,0,44.43,114.42,6.05,0,1,16,3,11.5,4,97.49,724,1
42,Business Owner,315100,5.8,4,Home,176000,24,0,0,0,31.42,55.86,30.54,0,0,0,0,19.7,2,99.42,731,1
33,Salaried,992800,4.9,3,Vehicle,2190000,36,0,0,0,85.92,220.59,11.86,0,0,0,2,10.3,3,95.89,723,0
39,Salaried,392900,12.8,3,Personal,909000,48,1,331500,12030,95,231.36,30.71,0,1,17,3,10.9,4,97.21,706,1
32,Professional,661300,6.9,2,Medical,1443000,60,0,0,0,64.53,218.21,27.03,0,2,33,1,11.7,3,91.49,705,0
32,Salaried,743400,3.2,0,Home,1483000,48,2,390100,9390,77.39,199.49,46.55,1,4,22,2,4.2,5,86.42,609,0
31,Professional,905700,7.4,0,Business,1762000,72,0,0,0,48.58,194.55,37.13,1,2,23,2,14.1,2,92.62,655,0
50,Salaried,615800,2.7,2,Personal,892000,48,0,0,0,50.77,144.85,25.19,0,1,14,1,28.4,6,99.02,774,0
32,Salaried,645300,6.8,1,Home,1750000,36,1,76500,1970,95,271.19,48.56,0,1,13,2,8.2,7,100,638,0
46,Self-Employed,337300,6.3,0,Home,395000,60,2,956500,31990,95,117.11,60.63,0,1,14,1,19.2,8,93.2,700,0
32,Salaried,1058500,5.2,0,Education,1590000,84,0,0,0,29.16,150.21,65.12,0,1,17,2,3.4,3,92.63,607,0
31,Salaried,610000,8.4,1,Home Renovation,1372000,84,0,0,0,50.98,224.92,10.48,0,2,25,2,7.9,2,96.42,709,0
39,Salaried,441400,6.8,1,Education,496000,60,2,228800,7530,52.79,112.37,58.83,1,1,16,4,12.4,9,93.57,615,0
25,Self-Employed,2067900,6.5,0,Personal,1098000,60,0,0,0,15.31,53.1,29.67,0,2,11,3,4.4,3,93.4,656,1
42,Business Owner,888400,4,0,Vehicle,364000,84,0,0,0,8.98,40.97,20.96,0,0,0,0,18,3,100,787,1
35,Salaried,1033900,10.9,0,Personal,2412000,60,0,0,0,59.28,233.29,19.27,0,1,7,4,12.9,2,98.77,672,1
31,Business Owner,416200,9,2,Vehicle,249000,24,1,42400,1580,38.16,59.83,23.6,0,0,0,3,1.6,2,97.14,637,1
29,Salaried,896300,5.7,1,Consumer Durable,518000,36,0,0,0,22.45,57.79,40.9,0,1,16,2,0.6,4,99.21,645,0
53,Salaried,611500,1.2,3,Medical,756000,48,1,278700,5230,53.19,123.63,37.78,0,0,0,3,29.3,4,98.84,771,1
36,Salaried,264200,9.3,1,Vehicle,358000,36,1,1786400,36380,95,135.5,25.59,0,1,13,2,12.6,4,97.32,668,0
35,Salaried,530700,1.3,2,Home,501000,60,3,1463700,50890,95,94.4,22.4,0,0,0,2,10.1,5,100,685,0
43,Professional,466800,5.7,3,Personal,184000,36,2,953500,31400,95,39.42,46.17,0,0,0,0,17.3,7,100,671,1
29,Professional,570800,3.3,3,Consumer Durable,773000,60,0,0,0,34.92,135.42,22.66,0,1,6,2,7.3,2,98.95,701,0
46,Salaried,573800,1.8,3,Business,1078000,24,0,0,0,95,187.87,29.08,0,0,0,1,29.6,4,100,788,1
36,Self-Employed,502600,0.5,0,Personal,942000,36,1,331800,7000,94.37,187.43,37.86,0,1,14,2,9,3,96.38,689,0
24,Salaried,291000,4.6,2,Business,407000,36,0,0,0,54.42,139.86,46.24,0,1,12,4,0.5,4,100,649,0
31,Salaried,792900,9.4,2,Home,253000,60,0,0,0,8.15,31.91,4.72,1,2,24,3,0.5,2,87.95,653,0
27,Business Owner,660300,8.3,0,Vehicle,692000,24,1,340400,9830,75.75,104.8,52.32,0,1,6,2,0.5,6,98.27,639,0
37,Professional,947500,3.9,2,Vehicle,2520000,12,1,290400,10100,95,265.96,40.11,0,1,16,4,10.6,4,97.21,674,0
29,Salaried,270800,9.9,0,Personal,173000,72,3,775900,18590,95,63.88,35.19,0,0,0,1,4.3,6,100,649,0
28,Business Owner,1025300,6.8,0,Personal,2595000,48,0,0,0,80.28,253.1,30.55,1,1,15,4,1.7,5,89.85,609,0
38,Salaried,992900,4.9,1,Home Renovation,1240000,36,2,161100,5550,60.07,124.89,55.71,0,0,0,2,17.2,8,99.65,709,1
36,Salaried,372700,4.2,3,Vehicle,471000,24,2,354600,10900,95,126.38,26.69,0,0,0,1,16,4,100,706,1
46,Professional,743000,0.5,2,Personal,267000,72,0,0,0,9.83,35.94,28.49,0,2,34,2,28.9,1,92.97,764,1
46,Salaried,862900,7.3,2,Home Renovation,2268000,60,1,185200,4460,72.82,262.83,22.61,0,1,15,2,17.3,3,96.22,751,1
37,Salaried,612700,6.8,1,Personal,774000,60,0,0,0,34.06,126.33,23.65,0,0,0,1,10.5,1,100,705,1
40,Self-Employed,993900,6.8,1,Personal,1310000,24,1,80500,3270,79.24,131.8,24.03,1,1,17,4,16.4,5,90.56,674,0
24,Professional,1576900,3.8,2,Personal,2248000,24,2,402500,9030,87.9,142.56,35.53,0,1,18,1,0.5,3,93.46,643,0
42,Professional,771700,5.5,2,Home,1077000,12,0,0,0,95,139.56,43.16,0,1,18,1,17.9,6,96.24,692,0
39,Salaried,515100,8,2,Education,379000,36,0,0,0,31.08,73.58,20.32,0,0,0,4,10.6,3,96.31,722,0
44,Salaried,619700,6,2,Vehicle,167000,12,0,0,0,29.17,26.95,77.05,0,2,30,1,21.3,1,96.69,674,0
33,Business Owner,1060100,2.1,2,Personal,2039000,60,0,0,0,57.88,192.34,44.63,0,1,18,3,10.1,5,95.04,651,0
33,Salaried,620000,6.2,3,Personal,382000,60,1,283100,9240,36.59,61.61,46.97,0,0,0,1,12,4,100,687,1
34,Salaried,629200,8.8,1,Business,492000,48,0,0,0,27.41,78.19,21.1,0,1,15,2,0.8,5,95.13,658,1
48,Salaried,489900,2.9,2,Education,835000,60,0,0,0,46.16,170.44,41.25,0,0,0,3,24.2,1,99.58,712,1
38,Salaried,691000,6.7,0,Vehicle,444000,36,0,0,0,27.19,64.25,39.26,0,0,0,7,27.1,2,97.06,725,1
23,Business Owner,1524100,3.8,3,Home,1739000,24,0,0,0,65.43,114.1,21.21,0,3,25,1,2.6,3,90.42,685,0
41,Salaried,698300,5.4,2,Home,862000,12,0,0,0,95,123.44,36.57,0,2,35,2,19.3,2,96.21,684,0
32,Contract,996300,3.3,1,Home,867000,12,0,0,0,91.91,87.02,10.35,0,0,0,1,6,1,99.64,717,0
45,Salaried,427900,5,2,Vehicle,656000,36,0,0,0,63.16,153.31,66.8,0,0,0,3,23.4,2,96.41,694,0
41,Business Owner,1630500,0.5,0,Personal,1671000,48,0,0,0,35.15,102.48,50.37,0,1,12,2,17.7,1,99.47,694,1
47,Salaried,569600,0.5,0,Consumer Durable,368000,36,2,1121600,42330,95,64.61,19.9,0,2,35,1,26.3,3,96.44,786,0
45,Salaried,791200,2.6,1,Home,2114000,36,3,103200,3440,95,267.19,40.41,0,0,0,2,23.1,6,100,713,1
44,Professional,927000,5.8,6,Education,2071000,36,0,0,0,93.22,223.41,17.67,0,0,0,3,25.8,3,99.28,765,1
46,Salaried,516300,5.4,0,Vehicle,1224000,36,0,0,0,95,237.07,17.17,2,7,95,4,25.4,6,67.98,654,0
43,Contract,2302900,9.3,1,Home,4776000,72,2,1000500,37220,71.35,207.39,33.03,0,1,16,3,28.1,4,94.95,747,0
30,Salaried,543200,7.8,2,Business,1322000,60,0,0,0,68.46,243.37,10.74,0,0,0,5,8.3,1,99.43,716,0
26,Salaried,673000,0.5,2,Home Renovation,1730000,72,1,163200,3240,75.93,257.06,37.7,0,0,0,3,0.5,7,100,647,0
29,Salaried,345300,8.6,2,Vehicle,830000,48,0,0,0,79.76,240.37,46.41,0,2,25,2,1.1,4,93.09,624,0
42,Self-Employed,825500,0.5,1,Personal,1563000,84,1,196100,7040,54.57,189.34,34.55,0,1,12,5,12.1,3,92.49,660,0
21,Salaried,597400,7.6,1,Personal,552000,12,1,861200,31160,95,92.4,20.94,0,1,11,2,0.5,3,100,704,0
36,Self-Employed,491900,9.5,1,Home,1229000,36,0,0,0,95,249.85,12.62,0,1,7,3,9.9,2,97.18,707,0
34,Salaried,825100,4.3,1,Medical,2089000,48,1,40100,1650,90.3,253.18,36.66,0,1,18,4,9.2,2,94.13,644,0
46,Salaried,1141700,7.7,0,Education,2473000,60,0,0,0,60.78,216.61,26.01,0,1,6,2,19.4,4,100,738,1
35,Salaried,377900,6,1,Personal,320000,24,1,426800,17910,95,84.68,22.9,0,2,24,2,14.4,4,92.74,684,0
33,Salaried,506700,0.5,2,Home,799000,72,1,439100,13380,67.91,157.69,58.72,0,0,0,1,4.3,4,97.94,634,1
47,Salaried,413800,5.9,2,Medical,484000,60,0,0,0,31.01,116.96,12.84,0,0,0,3,19.5,3,100,737,1
35,Business Owner,329400,4.9,1,Personal,247000,48,1,6100,500,28.19,74.98,33.49,1,2,22,2,8.7,2,83.49,662,1
34,Salaried,1867800,12,4,Home Renovation,2674000,48,0,0,0,49.91,143.16,67.32,0,1,12,2,11.8,2,97.89,646,1
32,Salaried,918800,4.5,0,Vehicle,2460000,72,0,0,0,71.73,267.74,18.11,0,1,10,1,10.8,4,94,692,0
38,Self-Employed,269200,3.6,3,Business,103000,48,0,0,0,13.27,38.26,36.87,0,1,14,0,19,4,94.68,749,1
33,Salaried,799100,6.7,1,Medical,225000,12,1,77100,3140,35.38,28.16,27.63,0,0,0,2,2.9,3,100,654,1
33,Salaried,282300,3.3,2,Personal,269000,36,0,0,0,39.98,95.29,33.56,1,2,26,3,10.2,5,83.21,642,0
48,Business Owner,391800,4.8,2,Personal,1081000,60,1,500700,19720,95,275.91,13,0,1,15,6,17.5,5,98.51,688,0
36,Salaried,689500,5.4,1,Vehicle,1282000,36,1,278500,10470,95,185.93,27.96,0,1,16,4,16.2,5,94.31,696,0
32,Salaried,924400,8,2,Medical,2160000,36,2,567800,13900,95,233.67,22.99,0,0,0,1,7.7,5,95.34,689,0
28,Contract,963500,0.8,1,Vehicle,1707000,36,0,0,0,69.64,177.17,7.93,0,3,44,2,8.3,1,94.91,713,1
38,Salaried,815600,4.9,0,Medical,1864000,36,0,0,0,88.83,228.54,35.02,0,0,0,5,13,6,100,687,0
31,Self-Employed,850900,8.2,1,Education,2360000,48,0,0,0,87.38,277.35,35.21,0,0,0,4,12.9,3,97.32,697,0
33,Salaried,832900,5.4,0,Vehicle,541000,12,1,36600,1130,71.81,64.95,17.08,0,2,34,1,13.7,5,96.23,713,1
29,Business Owner,1021300,0.5,0,Personal,2635000,24,0,0,0,95,258,16.08,0,1,6,7,10.5,4,96.09,720,0
38,Salaried,570700,6.7,1,Personal,634000,60,0,0,0,27.84,111.09,21.61,0,0,0,3,19.1,1,100,781,1
25,Salaried,453400,7.8,3,Home,665000,60,0,0,0,43.07,146.67,47.5,0,0,0,5,0.5,4,100,610,0
39,Self-Employed,800300,7.7,1,Personal,1874000,36,0,0,0,95,234.16,59.22,0,0,0,0,19.1,3,97.95,707,0
31,Salaried,1462600,1.3,1,Business,1959000,48,1,97300,4000,46.49,133.94,51.27,0,1,5,5,11.5,7,96.37,667,0
42,Salaried,535700,1.2,3,Personal,1011000,60,0,0,0,47.88,188.73,59.36,0,1,14,1,16.2,2,97.61,680,1
40,Salaried,660900,6.7,1,Education,489000,48,2,295600,5780,33.92,73.99,40.41,0,0,0,4,18.7,4,100,733,1
37,Salaried,965800,10.7,2,Vehicle,265000,24,1,30600,680,17.1,27.44,43.89,0,0,0,3,15.3,6,100,708,0
43,Salaried,1059800,7.8,1,Vehicle,1630000,12,1,74500,1960,95,153.8,18.51,1,3,27,2,19.7,3,86.11,693,0
49,Salaried,1137100,8.1,1,Business,2933000,60,3,360900,7520,79.79,257.94,34.97,0,0,0,2,30.7,7,100,755,0
47,Salaried,576200,5,2,Personal,595000,36,3,542500,20710,87.54,103.26,22.73,0,1,6,1,21,7,95.27,719,1
25,Salaried,1138900,1.3,0,Medical,1344000,36,2,1106700,32150,84.6,118.01,36.45,1,3,17,3,6.3,6,89.64,645,0
31,Professional,1165900,6.5,2,Personal,1108000,12,0,0,0,95,95.03,14.06,0,0,0,0,0.5,3,100,675,1
32,Business Owner,475000,6.9,0,Vehicle,332000,48,2,458200,17190,64.7,69.89,35.98,0,1,14,4,9.5,4,95.4,709,1
41,Salaried,487000,5.3,1,Business,290000,36,2,272800,7210,42.73,59.55,31.95,0,2,34,2,19.4,4,96.97,713,1
32,Salaried,1713000,1.9,3,Consumer Durable,2762000,24,1,109800,2750,93.34,161.24,29.46,0,1,6,5,4.2,3,99.6,662,0
31,Salaried,1205300,6,1,Vehicle,2257000,24,0,0,0,95,187.26,10.05,0,1,14,4,8.2,3,100,702,1
30,Salaried,467700,5.7,3,Personal,235000,24,1,994200,33380,95,50.25,48.68,0,0,0,4,7.4,3,97.33,643,0
39,Professional,552400,12.6,0,Home Renovation,873000,24,2,624900,18860,95,158.04,44.64,1,0,0,6,11.6,4,95.23,626,0
41,Salaried,400200,5.1,0,Vehicle,771000,48,0,0,0,66.29,192.65,30.42,0,1,8,4,19.7,7,96.39,732,1
26,Contract,294500,9.8,1,Personal,753000,60,4,1499200,36840,95,255.69,22,0,0,0,2,0.5,6,100,648,0
32,Salaried,451900,1.9,1,Personal,694000,48,0,0,0,48.89,153.57,60.87,0,1,17,2,11.4,1,96.49,646,0
21,Professional,737300,11.7,1,Vehicle,1656000,24,0,0,0,95,224.6,17.81,0,1,5,4,0.5,2,93.64,658,0
21,Self-Employed,1215500,0.5,1,Business,569000,60,2,147700,4150,16.51,46.81,10.28,0,1,6,2,0.5,4,94.55,705,1
40,Salaried,187000,2.4,1,Education,298000,72,0,0,0,43.38,159.36,49.58,0,0,0,4,12.7,2,100,671,1
39,Self-Employed,558800,8.3,1,Personal,815000,72,2,1261800,35520,95,145.85,33,0,1,8,1,16.6,3,98.73,713,1
37,Contract,712100,6.9,1,Personal,1156000,48,0,0,0,49.48,162.34,9.93,0,1,15,3,16.7,5,99.37,751,1
49,Salaried,727400,1.7,1,Business,394000,36,1,125600,2950,27.31,54.17,40.65,0,0,0,0,23.2,3,100,772,1
22,Professional,961100,7.3,0,Education,701000,60,1,170100,5900,28.34,72.94,64.32,0,0,0,1,0.5,6,99.49,632,1
21,Salaried,962300,1.9,1,Vehicle,814000,36,0,0,0,34.24,84.59,36.21,0,1,5,3,0.5,5,100,641,1
26,Self-Employed,372500,5.5,1,Home Renovation,555000,72,0,0,0,37.73,148.99,63.34,0,4,49,2,0.5,2,89.24,577,0
21,Salaried,1323500,1.3,1,Home,3201000,72,3,819300,25620,85.42,241.86,31.5,0,1,9,3,2.4,6,95.2,666,0
31,Salaried,1258100,4.1,1,Education,1074000,48,1,244000,6770,32.16,85.37,40.39,0,0,0,2,0.5,6,99.84,666,0
41,Salaried,713200,6.3,1,Personal,1511000,24,1,190900,7690,95,211.86,22.2,0,0,0,2,20.6,3,97.76,731,0
39,Salaried,466100,3.1,0,Business,549000,12,1,85900,3260,95,117.79,12.17,0,1,11,4,16.8,3,99.91,743,0
45,Salaried,237100,4.1,4,Education,517000,12,1,241900,7990,95,218.05,38.42,0,1,9,1,21.7,4,99.56,712,0
39,Salaried,733300,5.7,3,Home,1448000,36,0,0,0,76.93,197.46,20.85,0,3,18,3,16.1,3,93.22,691,0
33,Self-Employed,416600,8.3,1,Home,210000,36,2,352000,10430,49.55,50.41,63.95,0,1,8,1,3.8,6,97.93,628,0
32,Self-Employed,510000,1,2,Personal,743000,36,0,0,0,59.79,145.69,2.12,0,0,0,0,11.5,4,100,759,1
40,Self-Employed,545300,9,1,Personal,248000,36,0,0,0,18.29,45.48,26.75,0,1,10,0,12.5,4,98.97,704,1
23,Salaried,457200,13.4,4,Medical,1232000,24,1,100800,3230,95,269.47,25.65,1,2,18,2,2,4,83.85,622,0
21,Salaried,456000,6.3,2,Business,247000,12,0,0,0,56.86,54.17,12.77,0,0,0,3,0.5,5,95.98,666,1
39,Salaried,297200,3.6,0,Personal,318000,60,1,523200,16320,95,107,16.22,1,1,12,2,13.1,5,90.83,679,0
38,Salaried,882800,7.5,2,Personal,1830000,24,1,297000,8150,95,207.29,50.1,0,0,0,3,12.3,5,96.39,671,0
49,Salaried,535500,0.9,4,Education,1398000,24,2,562200,16850,95,261.06,20.55,0,1,9,5,19.7,5,96,738,0
42,Professional,601100,6.4,0,Personal,428000,24,0,0,0,39.32,71.2,10.81,0,1,12,4,17.9,1,95.24,727,1
39,Salaried,1435200,6.5,0,Personal,1068000,72,0,0,0,17.71,74.41,49.92,0,0,0,5,11.7,3,100,709,0
33,Salaried,364300,3.1,1,Business,157000,24,0,0,0,23.69,43.1,44.55,1,1,11,2,5.6,4,86.07,638,1
29,Salaried,513400,6.1,0,Home Renovation,986000,72,0,0,0,42.8,192.05,45.63,1,1,6,2,4.8,2,89.82,609,0
34,Salaried,785700,4.9,0,Vehicle,1420000,12,0,0,0,95,180.73,13.05,1,1,11,3,11.9,8,87.72,685,0
44,Salaried,857300,6.1,1,Consumer Durable,494000,60,1,194400,7570,26.81,57.62,23.57,0,0,0,3,17.5,2,100,752,1
40,Salaried,530200,4.6,0,Personal,615000,36,1,133400,2990,55.22,115.99,24.91,0,1,15,2,17.8,3,96.25,735,1
44,Salaried,674900,3.4,0,Home Renovation,726000,36,1,432600,9500,59.72,107.57,18.32,0,0,0,2,20,3,100,731,0
37,Salaried,198500,5.6,1,Home,463000,36,1,316400,11730,95,233.25,26.1,1,1,6,3,5.7,3,92.38,640,0
28,Salaried,377400,1.7,5,Personal,912000,60,0,0,0,61.81,241.65,44.24,1,2,15,3,0.5,1,85.87,599,0
46,Salaried,839400,6.2,0,Personal,2085000,36,4,1436300,50550,95,248.39,28.68,0,1,11,5,16.1,7,97.85,724,0
45,Salaried,515900,7.7,2,Personal,214000,48,0,0,0,14.18,41.48,14.53,0,0,0,2,17.1,1,100,744,1
38,Salaried,591800,5.9,2,Vehicle,408000,60,0,0,0,18.74,68.94,28.61,1,2,11,0,15.8,4,86.63,705,1
41,Self-Employed,757100,6,0,Home,1353000,60,1,85800,3320,53.08,178.71,7.65,0,1,13,5,28.6,4,98.95,804,1
40,Contract,841400,6,0,Vehicle,743000,48,2,141900,5630,35.46,88.31,20.01,0,0,0,3,14,3,100,741,1
32,Salaried,446100,2.9,1,Vehicle,375000,36,2,85800,3310,42.27,84.06,18.64,0,0,0,0,12.2,4,100,726,1
34,Salaried,552500,8.6,0,Business,939000,12,3,844100,29100,95,169.95,26.41,0,0,0,3,14.8,6,100,709,1
28,Salaried,412000,4.3,2,Education,316000,48,3,1385400,43230,95,76.7,10.77,0,0,0,1,1.7,6,98.71,668,1
34,Professional,699800,6.3,2,Personal,263000,36,2,277900,6750,26.33,37.58,57.08,0,1,12,0,15.9,6,100,705,1
45,Business Owner,311000,8.8,1,Medical,564000,36,1,387100,15280,95,181.35,51.79,0,0,0,2,21,4,100,698,0
43,Professional,833600,6.2,0,Personal,1708000,60,0,0,0,54.74,204.89,41.85,0,1,6,4,21.9,3,99.93,713,1
41,Salaried,494500,7.8,3,Vehicle,965000,12,0,0,0,95,195.15,56.64,1,2,21,5,22,1,84.09,650,0
44,Self-Employed,645400,2.8,4,Education,1415000,24,0,0,0,95,219.24,73.88,0,1,11,4,21.6,1,96.93,682,0
